Device, URL, RAM, CPU, Display Resolution, Instruction Set, OpenGL ES 2.0, Vector Floating Point
HTC One VX (HTC Totem C2), http://pdadb.net/index.php?m=specs&id=3904&view=1, 1024, 1200, 540x960, ARMv7,,
Asus Padfone 2 64GB, http://pdadb.net/index.php?m=specs&id=3938&view=1, 2048, 1512, 720x1280, ARMv7,,
Motorola Atrix TV XT682, http://pdadb.net/index.php?m=specs&id=3593&view=1, 512, 800, 480x854, ARMv7-A, Yes,
Acer Z110, http://pdadb.net/index.php?m=specs&id=3891&view=1, 256, 1000, 320x480, ARMv5TEJ,,
LG E973 Optimus G, http://pdadb.net/index.php?m=specs&id=3907&view=1, 2048, 1512, 768x1280, ARMv7,,
LG E960 Nexus 4 (LG Mako), http://pdadb.net/index.php?m=specs&id=3927&view=1, 2048, 1512, 768x1280, ARMv7,,
LG E970 Optimus G, http://pdadb.net/index.php?m=specs&id=3584&view=1, 2048, 1512, 768x1280, ARMv7,,
Samsung Galaxy Note II SC-02E, http://pdadb.net/index.php?m=specs&id=3920&view=1, 2048, 1600, 720x1280, ARMv7,,
Samsung GT-i9260 Galaxy Premier 16GB, http://pdadb.net/index.php?m=specs&id=3932&view=1, 1024, 1500, 720x1280, ARMv7-A,,
Amazon Kindle Fire 8.9 HD 32GB, http://pdadb.net/index.php?m=specs&id=3843&view=1, 1024, 1500, 1920x1200, ARMv7, Yes,
Amazon Kindle Fire 8.9 HD 4G LTE 64GB, http://pdadb.net/index.php?m=specs&id=3844&view=1, 1024, 1500, 1920x1200, ARMv7, Yes,
Samsung SCH-i415 Stratosphere II, http://pdadb.net/index.php?m=specs&id=3798&view=1, 1024, 1512, 480x800, ARMv7,,
Samsung GT-N7105 Galaxy Note II LTE 32GB, http://pdadb.net/index.php?m=specs&id=3807&view=1, 2048, 1600, 720x1280, ARMv7,,
HTC One X+ LTE (HTC Evitare), http://pdadb.net/index.php?m=specs&id=3903&view=1, 1024, 1700, 720x1280, ARMv7-A,,
Samsung SGH-i547 Galaxy Rugby Pro, http://pdadb.net/index.php?m=specs&id=3905&view=1, 768, 1500, 480x800, , ,
Samsung SPH-L900 Galaxy Note II LTE, http://pdadb.net/index.php?m=specs&id=3832&view=1, 2048, 1600, 720x1280, ARMv7,,
Samsung SCH-R950 Galaxy Note II LTE, http://pdadb.net/index.php?m=specs&id=3877&view=1, 2048, 1600, 720x1280, ARMv7,,
Samsung SCH-N719 Galaxy Note 2 CDMA, http://pdadb.net/index.php?m=specs&id=3916&view=1, 2048, 1600, 720x1280, ARMv7,,
Sony Xperia AX SOL21 (Sony Tsubasa), http://pdadb.net/index.php?m=specs&id=3918&view=1, 1024, 1512, 720x1280, ARMv7,,
LG LS860 Mach 4G LTE (LG Cayenne), http://pdadb.net/index.php?m=specs&id=3581&view=1, 1024, 1200, 480x800, ARMv7,,
Samsung SCH-i605 Galaxy Note II LTE, http://pdadb.net/index.php?m=specs&id=3833&view=1, 2048, 1600, 720x1280, ARMv7,,
Samsung GT-N7108 Galaxy Note II, http://pdadb.net/index.php?m=specs&id=3890&view=1, 2048, 1600, 720x1280, ARMv7,,
Verizon Samsung SCH-i915 Galaxy Tab 2 10.1 4G, http://pdadb.net/index.php?m=specs&id=3909&view=1, 1024, 1512, 1280x800, , ,
Sprint Samsung SPH-P500 Galaxy Tab 2 10.1 4G, http://pdadb.net/index.php?m=specs&id=3910&view=1, 1024, 1512, 1280x800, , ,
BN NOOK HD 16GB, http://pdadb.net/index.php?m=specs&id=3895&view=1, 1024, 1300, 900x1440, ARMv7, Yes,
BN NOOK HD 8GB, http://pdadb.net/index.php?m=specs&id=3898&view=1, 1024, 1300, 900x1440, ARMv7, Yes,
BN NOOK HD+ Slate 32GB, http://pdadb.net/index.php?m=specs&id=3899&view=1, 1024, 1500, 1280x1920, ARMv7, Yes,
